,DAP,Frec.,DAP,Frec.,DAP,Frec.,DAP,Frec.,,,,,
,16,2,25,4,34,9,43,1,,,,,
,17,1,26,8,35,19,44,2,,,,,
,18,4,27,6,36,6,45,3,,,,,
,19,3,28,6,37,8,46,2,,,,,
,20,2,29,4,38,4,47,0,,,,,
,21,6,30,8,39,6,48,2,,,,,
,22,5,31,11,40,6,49,3,,,,,
,23,7,32,8,41,9,,,,,,,
,24,2,33,6,42,7,,,,,,,
,,32,,61,,74,,13,180,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Intervalo,Frecuencia,Frecuencia relativa,Frecuencia acumulada,Frecuencia relativa acumulada
,,,,,,,,,15-19,10,0.06,10,0.06
,,,,,,,,,20-24,22,0.12,32,0.18
,,,,,,,,,25-29,28,0.16,60,0.33
,,,,,,,,,30-34,42,0.23,102,0.57
,,,,,,,,,35-39,43,0.24,145,0.81
,,,,,,,,,40-44,25,0.14,170,0.94
,,,,,,,,,45-49,10,0.06,180,1.00
,,,,,,,,,,180,,,
